OrderNumber;CustomerKey;LineNumber;Model
SO72773;11001;4;Sport-100
SO72773;11001;1;Road-750
SO72773;11001;2;Water Bottle
SO72773;11001;3;Road Bottle Cage
SO68413;11012;1;Road Tire Tube
SO68413;11012;2;Patch kit
SO74908;11013;3;Sport-100
SO74908;11013;1;HL Mountain Tire
SO74908;11013;2;Mountain Tire Tube
SO68396;11017;1;Touring-3000
SO69087;11018;1;Touring-3000
SO69087;11018;2;Road Bottle Cage
SO69087;11018;3;Water Bottle
SO69087;11018;4;Sport-100
SO62659;11019;1;HL Mountain Tire
SO62659;11019;2;Patch kit
SO64737;11019;1;Patch kit
SO65967;11019;1;LL Mountain Tire
SO66658;11019;1;LL Road Tire
SO66658;11019;2;Patch kit
SO74593;11019;2;Sport-100
SO74593;11019;3;Half-Finger Gloves
SO72747;11019;1;Women's Mountain Shorts
SO72747;11019;2;Short-Sleeve Classic Jersey
SO74561;11019;1;Hitch Rack - 4-Bike
SO74593;11019;1;Touring Tire Tube
SO71963;11019;1;Long-Sleeve Logo Jersey
SO71963;11019;2;Half-Finger Gloves
SO72015;11019;1;Touring Tire
SO72015;11019;2;Touring Tire Tube
SO69177;11019;1;Sport-100
SO68563;11019;1;ML Mountain Tire
SO68563;11019;2;Mountain Tire Tube
SO68563;11019;3;Patch kit
SO74658;11023;2;Patch kit
SO74658;11023;1;Road Tire Tube
SO62830;11024;1;Road Tire Tube
SO62830;11024;2;Patch kit
SO62830;11024;3;Bike Wash
SO69157;11025;1;Touring-3000
SO69157;11025;2;Short-Sleeve Classic Jersey
SO68468;11026;1;Touring-3000
SO68468;11026;2;Touring Tire
SO68468;11026;3;Touring Tire Tube
SO69088;11027;3;Touring Tire
SO69088;11027;4;Patch kit
SO69088;11027;1;Touring-3000
SO69088;11027;2;Touring Tire Tube
SO67961;11028;1;Touring-3000
SO70593;11029;1;Touring-3000
SO70593;11029;2;Road Bottle Cage
SO70593;11029;3;Water Bottle
SO62739;11030;1;Mountain-200
SO70449;11030;1;Touring-3000
SO70449;11030;2;Cycling Cap
SO62222;11031;1;Mountain-200
SO62222;11031;2;Patch kit
SO70748;11031;1;Touring-3000
SO70748;11031;2;Water Bottle
SO70748;11031;3;Road Bottle Cage
SO70373;11032;1;Touring-3000
SO70373;11032;2;Cycling Cap
SO64042;11032;6;Water Bottle
SO64042;11032;7;Patch kit
SO64042;11032;1;Mountain-200
SO64042;11032;2;HL Mountain Tire
SO64042;11032;3;Mountain Tire Tube
SO64042;11032;4;Fender Set - Mountain
SO64042;11032;5;Mountain Bottle Cage
SO63409;11033;1;Mountain-200
SO63409;11033;2;Sport-100
SO70163;11033;1;Touring-3000
SO70163;11033;2;Road Bottle Cage
SO70163;11033;3;Cycling Cap
SO70163;11033;4;Water Bottle
SO63737;11034;1;Mountain-200
SO70521;11034;1;Touring-3000
SO70521;11034;2;Short-Sleeve Classic Jersey
SO70870;11035;1;Touring-3000
SO70870;11035;2;Water Bottle
SO70870;11035;3;Road Bottle Cage
SO66140;11035;1;Mountain-200
SO70671;11038;1;Touring-3000
SO65549;11038;1;Mountain-200
SO66747;11039;1;Mountain-200
SO66747;11039;2;Patch kit
SO66747;11039;3;Hitch Rack - 4-Bike
SO66747;11039;4;Cycling Cap
SO70594;11039;1;Touring-3000
SO70594;11039;2;Touring Tire
SO70594;11039;3;Touring Tire Tube
SO70594;11039;4;Cycling Cap
SO68609;11042;1;Touring-3000
SO68609;11042;2;Long-Sleeve Logo Jersey
SO64496;11043;1;HL Mountain Tire
SO70074;11044;1;Mountain-200
SO70074;11044;2;HL Mountain Tire
SO70374;11044;1;Touring-3000
SO70374;11044;2;Road Bottle Cage
SO70374;11044;3;Water Bottle
SO70374;11044;4;Short-Sleeve Classic Jersey
SO69572;11045;1;Long-Sleeve Logo Jersey
SO69653;11046;1;Touring-3000
SO69653;11046;2;Half-Finger Gloves
SO69653;11046;3;Sport-100
SO70651;11046;1;Mountain-200
SO70651;11046;2;Hitch Rack - 4-Bike
SO70087;11047;1;Touring-3000
SO71132;11047;1;Mountain-200
SO71132;11047;2;Hitch Rack - 4-Bike
SO70820;11048;1;Touring-3000
SO70820;11048;2;Bike Wash
SO73924;11048;1;Mountain-200
SO73924;11048;2;Mountain Bottle Cage
SO73924;11048;3;Water Bottle
SO73924;11048;4;Short-Sleeve Classic Jersey
SO73924;11048;5;Cycling Cap
SO69583;11049;1;Road Tire Tube
SO69583;11049;2;Patch kit
SO71147;11050;1;Touring-3000
SO71147;11050;2;Sport-100
SO74155;11051;1;Cycling Cap
SO74155;11051;2;Long-Sleeve Logo Jersey
SO74253;11051;1;LL Mountain Tire
SO74253;11051;2;Mountain Tire Tube
SO74253;11051;3;Sport-100
SO74538;11065;1;Road Tire Tube
SO74538;11065;2;Patch kit
SO66656;11066;1;Road Tire Tube
