datum;kijkers
2017-01-01T00:00:00.000000;905.922
2017-01-02T00:00:00.000000;1.258.115
2017-01-03T00:00:00.000000;1.229.894
2017-01-04T00:00:00.000000;1.237.152
2017-01-05T00:00:00.000000;1.213.157
2017-01-06T00:00:00.000000;1.139.311
2017-01-07T00:00:00.000000;941.393
2017-01-08T00:00:00.000000;1.089.848
2017-01-09T00:00:00.000000;1.225.965
2017-01-10T00:00:00.000000;1.203.648
2017-01-11T00:00:00.000000;1.220.447
2017-01-12T00:00:00.000000;1.212.340
2017-01-13T00:00:00.000000;1.180.041
2017-01-14T00:00:00.000000;1.009.979
2017-01-15T00:00:00.000000;1.179.885
2017-01-16T00:00:00.000000;1.272.453
2017-01-17T00:00:00.000000;1.224.154
2017-01-18T00:00:00.000000;1.208.267
2017-01-19T00:00:00.000000;1.235.998
2017-01-20T00:00:00.000000;1.223.649
2017-01-21T00:00:00.000000;891.125
2017-01-22T00:00:00.000000;1.042.834
2017-01-23T00:00:00.000000;1.204.265
2017-01-24T00:00:00.000000;1.237.397
2017-01-25T00:00:00.000000;1.190.544
2017-01-26T00:00:00.000000;1.118.661
2017-01-27T00:00:00.000000;1.047.573
2017-01-28T00:00:00.000000;975.375
2017-01-29T00:00:00.000000;1.106.597
2017-01-30T00:00:00.000000;1.177.738
2017-01-31T00:00:00.000000;1.204.633
2017-02-01T00:00:00.000000;1.146.162
2017-02-02T00:00:00.000000;1.219.381
2017-02-03T00:00:00.000000;1.005.857
2017-02-04T00:00:00.000000;924.441
2017-02-05T00:00:00.000000;1.114.174
2017-02-06T00:00:00.000000;1.131.454
2017-02-07T00:00:00.000000;1.142.136
2017-02-08T00:00:00.000000;1.075.722
2017-02-09T00:00:00.000000;1.115.248
2017-02-10T00:00:00.000000;1.088.775
2017-02-11T00:00:00.000000;877.069
2017-02-12T00:00:00.000000;887.742
2017-02-13T00:00:00.000000;1.153.014
2017-02-14T00:00:00.000000;1.043.129
2017-02-15T00:00:00.000000;1.055.932
2017-02-16T00:00:00.000000;883.248
2017-02-17T00:00:00.000000;994.798
2017-02-18T00:00:00.000000;914.059
2017-02-19T00:00:00.000000;1.075.228
2017-02-20T00:00:00.000000;1.221.753
2017-02-21T00:00:00.000000;1.163.082
2017-02-22T00:00:00.000000;1.156.663
2017-02-23T00:00:00.000000;939.449
2017-02-24T00:00:00.000000;976.519
2017-02-25T00:00:00.000000;887.127
2017-02-26T00:00:00.000000;983.420
2017-02-27T00:00:00.000000;1.092.437
2017-02-28T00:00:00.000000;1.112.754
2017-03-01T00:00:00.000000;1.111.734
2017-03-02T00:00:00.000000;1.053.489
2017-03-03T00:00:00.000000;1.016.977
2017-03-04T00:00:00.000000;779.324
2017-03-05T00:00:00.000000;1.053.567
2017-03-06T00:00:00.000000;1.146.201
2017-03-07T00:00:00.000000;1.091.246
2017-03-08T00:00:00.000000;1.030.747
2017-03-09T00:00:00.000000;828.308
2017-03-10T00:00:00.000000;958.341
2017-03-11T00:00:00.000000;945.816
2017-03-12T00:00:00.000000;1.009.872
2017-03-13T00:00:00.000000;1.052.246
2017-03-14T00:00:00.000000;1.007.580
2017-03-15T00:00:00.000000;1.043.016
2017-03-16T00:00:00.000000;855.866
2017-03-17T00:00:00.000000;960.143
2017-03-18T00:00:00.000000;833.025
2017-03-19T00:00:00.000000;971.643
2017-03-20T00:00:00.000000;1.099.520
2017-03-21T00:00:00.000000;1.024.134
2017-03-22T00:00:00.000000;1.058.247
2017-03-23T00:00:00.000000;1.018.611
2017-03-24T00:00:00.000000;913.318
2017-03-25T00:00:00.000000;727.913
2017-03-26T00:00:00.000000;886.827
2017-03-27T00:00:00.000000;825.184
2017-03-28T00:00:00.000000;602.433
2017-03-29T00:00:00.000000;866.743
2017-03-30T00:00:00.000000;744.301
2017-03-31T00:00:00.000000;955.228
2017-04-01T00:00:00.000000;672.942
2017-04-02T00:00:00.000000;907.277
2017-04-03T00:00:00.000000;897.868
2017-04-04T00:00:00.000000;903.754
2017-04-05T00:00:00.000000;930.131
2017-04-06T00:00:00.000000;860.965
2017-04-07T00:00:00.000000;906.480
2017-04-08T00:00:00.000000;689.320
2017-04-09T00:00:00.000000;708.737
2017-04-10T00:00:00.000000;929.820
2017-04-11T00:00:00.000000;852.782
2017-04-12T00:00:00.000000;917.606
2017-04-13T00:00:00.000000;896.635
2017-04-14T00:00:00.000000;914.792
2017-04-15T00:00:00.000000;652.503
2017-04-16T00:00:00.000000;968.077
2017-04-17T00:00:00.000000;831.602
2017-04-18T00:00:00.000000;897.843
2017-04-19T00:00:00.000000;881.832
2017-04-20T00:00:00.000000;847.032
2017-04-21T00:00:00.000000;965.740
2017-04-22T00:00:00.000000;680.724
2017-04-23T00:00:00.000000;781.856
2017-04-24T00:00:00.000000;1.002.985
2017-04-25T00:00:00.000000;1.011.800
