jaar,95 %-betrouwbaarheidsinterval van punten op de trendlijn,gemiddelde van de gemeten waarden,trendlijn
1833,"(16.509, 15.361)",15.1,15.935
1834,"(16.476, 15.394)",17.9,15.935
1835,"(16.446, 15.422)",16.4,15.934
1836,"(16.416, 15.452)",16,15.934
1837,"(16.391, 15.477)",16.1,15.934
1838,"(16.367, 15.501)",15.3,15.934
1839,"(16.346, 15.522)",15.9,15.934
1840,"(16.327, 15.543)",15.3,15.935
1841,"(16.312, 15.56)",13.9,15.936
1842,"(16.299, 15.577)",16.9,15.938
1843,"(16.288, 15.59)",15.3,15.939
1844,"(16.28, 15.602)",14.4,15.941
1845,"(16.275, 15.613)",15.1,15.944
1846,"(16.269, 15.623)",18.2,15.946
1847,"(16.266, 15.63)",16.4,15.948
1848,"(16.265, 15.637)",15.6,15.951
1849,"(16.263, 15.643)",15.4,15.953
1850,"(16.262, 15.646)",15.5,15.954
1851,"(16.262, 15.65)",15.9,15.956
1852,"(16.261, 15.653)",17.2,15.957
1853,"(16.261, 15.653)",16.3,15.957
1854,"(16.261, 15.653)",15.3,15.957
1855,"(16.26, 15.652)",15.8,15.956
1856,"(16.256, 15.652)",16.1,15.954
1857,"(16.254, 15.65)",17.7,15.952
1858,"(16.251, 15.647)",17.1,15.949
1859,"(16.247, 15.643)",17.9,15.945
1860,"(16.242, 15.638)",14.2,15.94
1861,"(16.236, 15.632)",16.5,15.934
1862,"(16.23, 15.626)",15,15.928
1863,"(16.224, 15.62)",15.9,15.922
1864,"(16.217, 15.613)",14.9,15.915
1865,"(16.21, 15.606)",16.1,15.908
1866,"(16.203, 15.599)",15.7,15.901
1867,"(16.195, 15.591)",15.4,15.893
1868,"(16.188, 15.584)",17.4,15.886
1869,"(16.18, 15.576)",14.8,15.878
1870,"(16.172, 15.568)",15.9,15.87
1871,"(16.162, 15.562)",15.1,15.862
1872,"(16.153, 15.553)",16.3,15.853
1873,"(16.145, 15.545)",16.4,15.845
1874,"(16.136, 15.536)",16,15.836
1875,"(16.128, 15.528)",16.1,15.828
1876,"(16.119, 15.519)",16.6,15.819
1877,"(16.108, 15.512)",16.8,15.81
1878,"(16.1, 15.504)",16,15.802
1879,"(16.091, 15.495)",15,15.793
1880,"(16.083, 15.487)",15.9,15.785
1881,"(16.075, 15.479)",15.8,15.777
1882,"(16.068, 15.472)",14.4,15.77
1883,"(16.062, 15.466)",15.7,15.764
1884,"(16.056, 15.46)",16.2,15.758
1885,"(16.051, 15.455)",15.5,15.753
1886,"(16.047, 15.451)",15.5,15.749
1887,"(16.044, 15.448)",16.1,15.746
1888,"(16.04, 15.448)",14.5,15.744
1889,"(16.038, 15.446)",15.9,15.742
1890,"(16.038, 15.446)",14.6,15.742
1891,"(16.039, 15.447)",14.8,15.743
1892,"(16.04, 15.448)",15.4,15.744
1893,"(16.043, 15.451)",16.6,15.747
1894,"(16.046, 15.454)",15.3,15.75
